user_id,end_week,is_dropout_point,spectral_agg,spectral_eucl,kmeans_flat,kmeans_eucl
389188,25,1,0,2,0,1
389189,22,0,0,0,1,2
389190,22,0,0,0,1,2
389190,31,0,0,3,0,0
389198,16,0,0,2,2,1
389198,35,0,0,1,0,0
389198,37,0,0,1,0,0
389201,26,1,0,3,0,1
389201,28,0,0,0,0,2
389203,19,0,0,3,2,1
389204,35,1,0,1,0,0
389205,24,0,0,1,0,0
389205,44,0,0,2,0,3
389234,17,0,0,1,0,0
389234,21,1,0,1,0,0
389235,19,0,0,1,0,0
389235,29,0,0,1,0,0
389236,19,0,0,1,0,0
389239,14,1,0,1,0,0
389239,22,1,0,1,0,0
389239,27,1,0,1,0,0
389240,23,1,0,1,0,0
389240,32,0,0,3,0,0
389240,33,0,0,1,0,0
389240,61,0,0,1,0,0
389275,14,1,0,1,0,0
389285,12,1,0,2,0,3
389285,35,1,0,1,0,0
389316,13,0,0,2,0,3
389318,19,0,0,2,0,3
389318,28,1,0,3,0,1
389318,43,0,0,1,0,0
389318,44,0,0,1,0,0
389319,35,1,0,1,0,0
389320,17,0,0,2,0,3
389321,56,0,0,1,0,0
389322,39,1,0,1,0,0
389322,53,1,0,1,0,0
389323,37,1,0,1,0,0
389323,40,1,0,1,0,0
389324,44,0,0,1,0,0
389324,45,0,0,1,0,0
389326,15,1,0,2,0,3
389326,17,0,0,2,0,3
389326,38,1,0,1,0,0
389326,46,0,0,1,0,0
389327,17,1,0,2,0,3
389327,29,1,0,1,0,0
389327,32,1,0,1,0,0
389327,35,1,0,1,0,0
389329,39,1,0,1,0,0
389329,40,1,0,1,0,0
389329,55,1,0,1,0,0
389331,39,1,0,1,0,0
389331,46,0,0,1,0,0
389332,30,1,0,3,0,1
389332,36,1,0,1,0,0
389332,40,0,0,1,0,0
389333,25,1,0,2,0,3
389333,56,0,0,1,0,0
389334,19,0,0,2,0,3
389334,37,1,0,1,0,0
389335,56,0,0,1,0,0
389338,17,0,0,2,0,3
389338,18,0,0,2,0,3
389338,61,0,0,1,0,0
389352,54,1,0,1,0,0
389354,19,0,0,2,0,3
389367,57,0,0,3,0,1
389367,59,0,0,3,0,1
389368,30,1,0,1,0,0
389368,37,1,0,1,0,0
389368,56,0,0,3,0,1
389369,15,0,0,1,0,0
389369,52,1,0,1,0,0
389370,49,0,0,2,0,3
389372,12,1,0,2,1,3
389372,20,1,0,3,0,0
389372,31,1,0,1,0,0
389372,52,0,0,2,0,3
389372,62,0,0,1,0,0
389375,14,1,0,1,0,0
389375,49,0,0,2,0,3
389380,15,1,0,1,0,0
389380,46,0,0,1,0,0
389386,43,0,0,1,0,0
389392,30,0,0,1,0,0
389392,40,0,0,1,0,0
389392,43,0,0,1,0,0
389401,14,0,0,2,2,3
389401,38,1,0,1,0,0
389401,41,0,0,1,0,0
389404,19,1,0,3,0,1
389405,40,0,0,1,0,0
389405,46,0,0,1,0,0
389407,20,0,0,3,0,1
389408,31,0,0,1,0,0
389409,14,1,0,3,2,1
389409,23,0,0,1,0,0
389409,38,0,0,1,0,0
389417,33,0,0,1,0,0
389418,15,1,0,3,1,1
389419,32,0,0,1,0,0
389421,23,0,0,1,0,0
389434,13,1,0,1,0,0
389434,26,1,0,2,0,3
389442,61,1,0,1,0,0
389449,19,1,0,1,0,0
389449,20,0,0,1,0,0
389462,50,1,0,1,0,0
389462,67,1,0,1,0,0
389462,69,0,0,1,0,0
389464,16,1,0,3,1,1
389464,31,0,0,1,0,0
389467,21,0,0,2,0,3
389495,13,1,0,1,0,0
389496,18,1,0,1,0,0
389497,26,1,0,1,0,0
389498,36,1,0,1,0,0
389501,18,1,0,1,0,0
389501,27,1,0,1,0,0
389504,13,1,0,3,0,1
389504,17,0,0,0,1,1
389505,28,1,0,1,0,0
389506,29,1,0,1,0,0
389506,30,1,0,1,0,0
389507,24,1,0,1,0,0
389507,28,1,0,1,0,0
389511,19,1,0,1,0,0
389513,16,1,0,1,0,0
389513,26,1,0,1,0,0
389517,12,1,0,3,2,1
389517,21,0,0,0,1,2
389582,34,0,0,3,2,1
389583,15,0,0,2,0,1
389583,51,0,0,2,0,3
389584,16,0,0,2,0,1
389584,17,0,0,0,1,2
389594,14,0,0,1,0,0
389594,31,0,0,1,0,0
389599,12,1,0,1,0,0
389603,12,0,0,1,0,0
389603,16,0,0,2,0,3
389606,37,0,0,1,0,0
389616,41,0,0,3,2,1
389619,15,0,0,3,0,1
389619,21,0,0,2,0,3
389619,23,0,0,3,0,1
389620,32,1,0,2,0,1
389620,36,0,0,0,1,2
389621,51,1,0,1,0,0
389622,28,0,0,0,1,2
389627,40,0,0,2,2,1
389635,39,1,0,1,0,0
389639,45,0,0,3,0,1
389640,35,0,0,2,0,1
389658,20,1,0,0,1,1
389658,28,0,0,2,0,1
389658,43,0,0,2,0,3
389658,44,0,0,2,0,3
389674,18,1,0,1,0,0
389674,44,0,0,1,0,0
389682,36,0,0,1,0,0
389682,43,0,0,1,0,0
389711,53,0,0,3,1,1
389711,71,0,0,2,0,3
389715,21,1,0,1,0,0
389758,28,1,0,1,0,0
389775,32,0,0,3,2,1
389775,67,0,0,3,0,1
389782,45,0,0,1,0,0
389782,49,0,0,1,0,0
389816,50,0,0,3,0,1
389838,48,1,0,3,0,1
389840,25,1,0,1,0,0
389840,26,1,0,1,0,0
389840,51,1,0,3,0,1
389841,19,1,0,1,0,0
389841,33,1,0,1,0,0
389841,51,1,0,3,0,1
389843,24,1,0,1,0,0
389843,33,1,0,1,0,0
389844,38,0,0,1,0,0
389844,53,1,0,0,1,1
389845,19,1,0,1,0,0
389852,56,0,0,1,0,0
389855,30,1,0,1,0,0
389855,43,0,0,2,2,1
389855,47,1,0,0,2,2
389857,40,0,0,2,0,3
389859,21,0,0,1,0,0
389860,23,1,0,1,0,0
389860,45,1,0,3,2,1
389860,54,0,0,0,1,2
389861,20,1,0,1,0,0
389861,26,1,0,1,0,0
389863,13,1,0,1,0,0
389863,62,0,0,1,0,0
389864,32,0,0,1,0,0
389865,35,0,0,2,0,3
389865,39,0,0,2,2,3
389865,51,1,0,3,0,1
389867,28,1,0,1,0,0
389867,33,0,0,1,0,0
389867,53,0,0,0,1,1
389867,56,0,0,1,0,0
389868,20,1,0,1,0,0
389868,34,0,0,1,0,0
389869,30,1,0,1,0,0
389869,56,0,0,1,0,0
389869,58,0,0,1,0,0
389870,11,0,0,0,0,2
389870,57,0,0,1,0,0
389871,21,1,0,1,0,0
389871,27,1,0,1,0,0
389871,35,0,0,2,0,3
389871,41,0,0,2,0,3
389871,49,1,0,3,1,1
389871,57,0,0,1,0,0
389872,56,0,0,1,0,0
389873,38,0,0,2,0,3
389873,51,1,0,3,0,1
389876,15,1,0,1,0,0
389879,23,1,0,1,0,0
389879,30,1,0,1,0,0
389881,13,1,0,1,0,0
389883,18,1,0,1,0,0
389885,19,0,0,1,0,0
389887,42,0,0,2,0,3
389888,13,1,0,1,0,0
