user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,school_type,end_week,is_dropout_point,cluster_spectral_eucl,spectral_agg,kmeans_flat,kmeans_eucl,stage2_outcome,canton_top,engagement_score,engagement_level
394327,MALE,BL,Gymnasium,0,4,1,Secondary,Academic,16,1,0,0,1,3,1,BL,0.051530012707227256,High
394330,MALE,SG,Gymnasium,0,1,1,Secondary,Academic,25,1,3,0,1,3,1,SG,0.018478717747328115,Low
394330,MALE,SG,Gymnasium,0,1,1,Secondary,Academic,29,1,3,0,1,3,1,SG,0.018478717747328115,Low
394330,MALE,SG,Gymnasium,0,1,1,Secondary,Academic,30,1,0,0,1,3,1,SG,0.018478717747328115,Low
394331,FEMALE,BL,Gymnasium,0,1,1,Secondary,Academic,18,1,0,0,1,0,1,BL,0.01881399265754092,Low
394331,FEMALE,BL,Gymnasium,0,1,1,Secondary,Academic,22,0,0,0,1,0,0,BL,0.01881399265754092,Low
394333,FEMALE,ZH,HMS,0,1,1,Secondary,Other,29,1,0,0,1,0,1,ZH,0.16845634947200186,High
394334,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,63,0,0,0,1,0,0,BL,0.03485124845498626,Medium
394335,FEMALE,SG,ISME,0,0,1,Secondary,Other,27,0,0,0,1,0,0,SG,0.1590965854226189,High
394336,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,25,1,0,0,1,0,1,BL,0.19542039557914598,High
394336,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,29,1,0,0,1,0,1,BL,0.19542039557914598,High
394336,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,34,1,0,0,1,0,1,BL,0.19542039557914598,High
394338,FEMALE,BL,Gymnasium,0,1,1,Secondary,Academic,14,1,3,0,0,1,1,BL,0.09095172221772649,High
394338,FEMALE,BL,Gymnasium,0,1,1,Secondary,Academic,54,1,0,0,1,0,1,BL,0.09095172221772649,High
394338,FEMALE,BL,Gymnasium,0,1,1,Secondary,Academic,57,1,0,0,1,0,1,BL,0.09095172221772649,High
394343,FEMALE,ZH,Kurzzeitgymnasium,0,3,1,Secondary,Academic,29,1,0,0,1,0,1,ZH,0.021732588787397058,Low
394355,FEMALE,ZH,Kurzzeitgymnasium,0,3,1,Secondary,Academic,24,1,0,0,1,0,1,ZH,0.01066258626989404,Low
394376,FEMALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,24,1,0,0,1,0,1,ZH,0.06561326021618456,High
394376,FEMALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,42,0,0,0,1,0,0,ZH,0.06561326021618456,High
394382,MALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,21,1,0,0,1,0,1,ZH,0.06585298436808289,High
394382,MALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,38,1,0,0,1,0,1,ZH,0.06585298436808289,High
394382,MALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,51,0,0,0,1,0,0,ZH,0.06585298436808289,High
394383,MALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,39,1,0,0,1,0,1,ZH,0.0300675941836056,Medium
394392,FEMALE,ZH,HMS,0,1,1,Secondary,Other,13,1,2,0,0,2,1,ZH,0.16074803834136708,High
394392,FEMALE,ZH,HMS,0,1,1,Secondary,Other,30,1,0,0,1,0,1,ZH,0.16074803834136708,High
394400,FEMALE,SO,Gymnasium,0,1,1,Secondary,Academic,12,1,0,0,1,0,1,SO,0.0652765212706614,High
394400,FEMALE,SO,Gymnasium,0,1,1,Secondary,Academic,36,1,0,0,1,0,1,SO,0.0652765212706614,High
394400,FEMALE,SO,Gymnasium,0,1,1,Secondary,Academic,47,0,0,0,1,0,0,SO,0.0652765212706614,High
394417,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,23,1,0,0,1,0,1,BL,0.04726653329852298,Medium
394432,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,17,0,1,0,1,1,0,AG,0.07861749892562347,High
394432,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,39,1,0,0,1,0,1,AG,0.07861749892562347,High
394434,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,21,1,0,0,1,3,1,AG,0.08630126826170977,High
394434,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,25,1,1,0,1,3,1,AG,0.08630126826170977,High
394435,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,12,1,0,0,1,0,1,AG,0.05960975835036776,High
394435,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,23,1,0,0,1,0,1,AG,0.05960975835036776,High
394437,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,51,0,0,0,1,3,0,AG,0.15979212989497849,High
394444,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,34,0,3,0,1,3,0,SG,0.030542770775655738,Medium
394444,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,55,0,0,0,1,0,0,SG,0.030542770775655738,Medium
394447,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,17,0,0,0,1,3,0,SG,0.07273864847281433,High
394447,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,19,1,1,0,1,3,1,SG,0.07273864847281433,High
394447,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,31,1,3,0,1,3,1,SG,0.07273864847281433,High
394448,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,34,1,0,0,1,0,1,SG,0.04838102098361384,Medium
394449,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,16,0,1,0,1,3,0,SG,0.012200374858803863,Low
394449,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,23,1,0,0,1,0,1,SG,0.012200374858803863,Low
394499,MALE,ZH,HMS,0,1,1,Secondary,Other,22,1,1,0,1,3,1,ZH,0.10304427229609407,High
394503,MALE,ZH,HMS,0,1,1,Secondary,Other,15,1,1,0,3,1,1,ZH,0.1573190097299424,High
394506,FEMALE,ZH,HMS,0,1,1,Secondary,Other,53,1,0,0,1,0,1,ZH,0.10583922271200412,High
394508,FEMALE,ZH,HMS,0,1,1,Secondary,Other,44,0,3,0,1,3,0,ZH,0.192727533581033,High
394508,FEMALE,ZH,HMS,0,1,1,Secondary,Other,52,1,0,0,1,0,1,ZH,0.192727533581033,High
394510,MALE,ZH,HMS,0,1,1,Secondary,Other,22,1,0,0,1,3,1,ZH,0.06802808194882819,High
394510,MALE,ZH,HMS,0,1,1,Secondary,Other,23,1,1,0,1,3,1,ZH,0.06802808194882819,High
394510,MALE,ZH,HMS,0,1,1,Secondary,Other,27,1,0,0,1,0,1,ZH,0.06802808194882819,High
394512,FEMALE,ZH,HMS,0,1,1,Secondary,Other,16,1,1,0,1,3,1,ZH,0.16859083229268135,High
394513,MALE,ZH,HMS,0,1,1,Secondary,Other,28,1,0,0,1,0,1,ZH,0.10268235716864212,High
394514,FEMALE,ZH,HMS,0,1,1,Secondary,Other,18,1,1,0,1,3,1,ZH,0.06324440542080653,High
394515,MALE,ZH,HMS,0,1,1,Secondary,Other,29,1,0,0,1,0,1,ZH,0.2078207885058112,High
394518,MALE,ZH,HMS,0,1,1,Secondary,Other,28,1,0,0,1,0,1,ZH,0.04983966857659095,Medium
394524,MALE,ZH,Kurzzeitgymnasium,0,2,1,Secondary,Academic,37,1,0,0,1,0,1,ZH,0.031761766465520834,Medium
394526,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,34,1,0,0,1,0,1,Unknown,0.020159755576464412,Low
394526,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,64,0,0,0,1,0,0,Unknown,0.020159755576464412,Low
394527,Other,SG,Gymnasium,0,2,1,Secondary,Academic,20,1,0,0,1,0,1,SG,0.011674020688603076,Low
394536,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,40,0,0,0,1,0,0,BL,0.024335164478280526,Low
394537,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,16,1,1,0,1,3,1,SG,0.012848417155027506,Low
394538,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,11,1,2,0,0,2,1,SG,0.11656308547705665,High
394539,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,44,0,3,0,3,1,0,SG,0.04299422818120846,Medium
394540,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,18,1,0,0,1,3,1,SG,0.027199003178624927,Medium
394542,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,50,0,1,0,3,1,0,Unknown,0.11870741562638894,High
394542,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,68,0,1,0,1,1,0,Unknown,0.11870741562638894,High
394547,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,17,1,0,0,1,0,1,AG,0.26885003618826475,High
394547,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,22,1,0,0,1,0,1,AG,0.26885003618826475,High
394547,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,33,1,0,0,1,0,1,AG,0.26885003618826475,High
394553,MALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,22,1,0,0,1,0,1,AG,0.08393500987527225,High
394553,MALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,28,1,0,0,1,0,1,AG,0.08393500987527225,High
394553,MALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,49,0,0,0,1,0,0,AG,0.08393500987527225,High
394555,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,40,0,0,0,1,0,0,AG,0.02766769592139239,Medium
394556,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,13,1,2,0,0,2,1,AG,0.04170507099851141,Medium
394559,FEMALE,SO,Gymnasium,0,2,1,Secondary,Academic,13,1,0,0,1,0,1,SO,0.01497799135897479,Low
394559,FEMALE,SO,Gymnasium,0,2,1,Secondary,Academic,47,0,0,0,1,0,0,SO,0.01497799135897479,Low
394559,FEMALE,SO,Gymnasium,0,2,1,Secondary,Academic,51,0,0,0,1,0,0,SO,0.01497799135897479,Low
394564,MALE,SO,Gymnasium,0,2,1,Secondary,Academic,24,0,3,0,1,3,0,SO,0.038120523558375405,Medium
394567,MALE,SO,Gymnasium,0,2,1,Secondary,Academic,19,1,0,0,1,0,1,SO,0.03658656312074451,Medium
394571,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,34,1,0,0,1,0,1,Unknown,0.030741424792497342,Medium
394571,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,55,0,3,0,1,3,0,Unknown,0.030741424792497342,Medium
394584,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,18,1,0,0,1,0,1,Unknown,0.035975966594934475,Medium
