user_id,came_back,cluster_all_k2,cluster_behavior_k2,cluster_behavior_k5,cluster_gmm_k5
389471,1,0,0,0,0
389472,1,0,0,2,2
389476,1,0,0,0,1
389477,1,0,0,0,3
389478,0,0,0,0,0
389479,1,0,0,0,0
389480,1,0,0,3,3
389481,1,0,0,3,2
389482,1,0,0,0,0
389483,1,0,0,0,0
389485,0,0,0,0,0
389486,1,0,0,0,1
389487,1,0,0,0,0
389488,1,0,0,0,1
389489,1,0,0,0,0
389490,1,0,0,3,3
389491,1,0,0,0,0
389492,1,0,0,0,0
389493,1,0,0,0,0
389494,0,0,0,0,0
389495,1,0,0,0,0
389496,1,0,0,0,0
389497,1,0,0,0,0
389498,1,0,0,0,0
389499,1,0,0,0,0
389500,1,0,0,0,0
389501,1,0,0,0,0
389502,1,0,0,0,0
389503,1,0,0,0,0
389504,1,0,0,2,2
389505,1,0,0,0,0
389506,1,0,0,0,0
389507,1,0,0,0,0
389509,1,0,0,0,0
389510,1,0,0,0,0
389511,1,0,0,0,0
389512,1,0,0,0,0
389513,1,0,0,0,0
389516,0,0,0,0,0
389517,1,0,0,0,0
389533,0,0,0,0,0
389576,1,0,0,0,0
389582,1,0,0,4,0
389583,1,0,0,4,0
389584,1,0,0,4,0
389586,0,0,0,0,0
389587,0,0,0,0,0
389589,1,0,0,0,1
389591,0,0,0,0,0
389592,1,0,0,0,0
389593,1,0,0,0,0
389594,1,0,0,0,0
389596,0,0,0,0,1
389597,1,0,0,0,0
389599,1,0,0,3,3
389601,1,0,0,3,3
389602,1,0,0,0,0
389603,1,0,0,0,0
389605,0,1,1,2,2
389606,1,0,0,0,0
389609,0,0,0,0,1
389610,0,0,0,4,0
389615,1,0,0,0,0
389616,1,0,0,0,0
389618,1,0,0,2,2
389619,1,0,0,0,0
389620,1,0,0,4,0
389621,1,0,0,0,0
389622,1,0,0,0,0
389625,1,0,0,0,0
389626,1,0,0,0,0
389627,1,0,0,0,0
389630,1,0,0,4,0
389635,1,0,0,0,0
389637,1,0,0,0,0
389638,1,0,0,4,1
389639,1,0,0,0,0
389640,1,0,0,4,0
389641,1,0,0,0,1
389644,1,0,0,0,0
389658,1,0,0,4,0
389674,1,1,1,1,2
389682,1,0,0,4,4
389711,1,0,0,3,3
389715,1,0,0,2,2
389758,1,0,0,0,0
389760,0,0,0,0,0
389761,1,1,1,2,1
389767,0,0,0,0,0
389771,0,0,0,0,0
389773,0,0,0,0,0
389775,1,0,0,0,2
389777,1,0,0,0,0
389779,1,0,0,4,3
389780,1,0,0,4,4
389782,1,0,0,0,0
389789,1,0,0,0,0
389809,1,1,1,2,2
389811,1,0,0,2,1
389812,0,0,0,3,3
389813,1,0,0,0,2
389816,1,0,0,0,0
389826,0,0,0,4,1
389838,1,0,0,0,1
389839,1,0,0,0,1
389840,1,0,0,0,0
389841,1,0,0,0,0
389842,1,0,0,0,0
389843,1,0,0,0,0
389844,1,0,0,0,0
389845,1,0,0,0,1
389846,1,0,0,0,0
389848,1,0,0,0,0
389851,1,0,0,4,4
389852,1,0,0,0,0
389853,1,0,0,0,0
389854,1,0,0,0,0
389855,1,0,0,0,0
389856,1,0,0,0,0
389857,1,0,0,0,0
389858,0,0,0,4,0
389859,1,0,0,0,0
389860,1,0,0,0,0
389861,1,0,0,0,0
389862,1,0,0,0,0
389863,1,0,0,0,0
389864,1,0,0,4,0
389865,1,0,0,0,0
389866,1,0,0,2,0
389867,1,0,0,0,0
389868,1,0,0,0,0
389869,1,0,0,0,0
389870,1,0,0,0,0
389871,1,0,0,0,0
389872,1,0,0,0,0
389873,1,0,0,0,0
389874,1,0,0,0,0
389875,1,0,0,2,2
389876,1,0,0,0,0
389877,0,0,0,0,0
389878,0,0,0,0,0
389879,1,0,0,0,0
389881,1,0,0,0,0
389882,1,0,0,0,0
389883,1,0,0,4,4
389884,1,0,0,0,0
389885,1,0,0,3,2
389887,1,0,0,0,0
389888,1,0,0,4,3
389890,1,0,0,0,0
389891,1,0,0,0,0
389894,1,0,0,0,0
389898,1,0,0,4,1
389905,1,0,0,0,0
389914,1,0,0,0,0
389915,0,0,0,0,0
389918,1,0,0,0,0
389919,0,0,0,0,0
389920,1,0,0,4,4
389921,1,0,0,4,4
389924,0,0,0,3,2
389931,0,0,0,0,0
389935,1,0,0,0,2
389943,1,0,0,3,3
389944,1,0,0,0,0
389945,1,0,0,0,0
389946,1,0,0,4,0
389950,1,0,0,4,3
389951,1,0,0,0,2
389955,1,0,0,4,4
389959,1,0,0,2,1
389960,1,1,1,2,2
389961,1,0,0,0,0
389962,1,0,0,2,2
389964,1,0,0,2,2
389965,0,0,0,0,2
389966,1,1,1,2,1
389967,1,0,0,2,2
389968,1,1,1,1,1
389969,1,0,0,4,3
389970,1,0,0,4,3
389971,1,0,0,4,4
389973,1,0,0,0,0
389974,1,0,0,4,4
389976,1,0,0,0,0
389977,1,0,0,4,3
389979,0,0,0,4,3
389981,1,0,0,0,0
389984,1,0,0,0,0
389985,1,0,0,0,0
389987,1,1,1,2,2
390015,1,0,0,4,4
390019,1,0,0,0,2
390022,1,0,0,4,4
390025,1,0,0,3,3
390026,1,0,0,4,4
390028,1,0,0,2,1
390032,1,0,0,0,3
390063,1,0,0,0,2
390086,1,0,0,4,3
390087,1,0,0,0,0
390088,1,0,0,0,0
390090,1,0,0,0,2
390091,1,0,0,4,4
390093,1,0,0,0,1
390094,1,0,0,4,3
390095,0,0,0,2,2
390099,1,0,0,0,0
390100,1,0,0,4,4
390101,1,0,0,4,3
390111,1,0,0,0,0
390124,0,0,0,4,4
390127,1,0,0,4,4
390129,1,0,0,0,2
390131,1,0,0,4,3
390134,1,0,0,2,3
390135,1,0,0,4,4
390137,1,0,0,3,1
390138,1,0,0,0,1
390140,1,0,0,3,3
390141,0,0,0,4,3
390142,1,0,0,0,0
390143,1,0,0,4,3
390144,1,0,0,0,0
390151,0,0,0,4,4
390167,0,0,0,4,3
390168,1,0,0,4,4
390172,1,0,0,0,0
390176,1,0,0,2,2
390178,0,0,0,2,0
390179,0,0,0,0,2
390180,1,0,0,0,0
390181,0,0,0,0,1
390182,0,0,0,0,0
390185,0,0,0,2,2
390186,0,0,0,0,0
390187,0,0,0,0,0
390188,0,1,1,2,2
390189,0,0,0,0,2
390190,0,0,0,0,0
390191,0,0,0,0,0
390193,0,0,0,0,2
390196,0,0,0,4,4
390197,0,0,0,0,0
390198,0,0,0,0,0
390203,0,0,0,0,0
390204,0,0,0,0,0
390205,0,0,0,0,0
390210,0,0,0,2,2
390214,0,0,0,0,0
390215,0,0,0,0,0
390217,0,0,0,2,2
390245,0,0,0,0,2
390246,0,0,0,0,0
390248,0,0,0,0,0
390250,1,0,0,4,4
390252,0,1,1,2,1
390254,0,1,1,2,1
390255,1,0,0,4,3
390256,1,0,0,4,3
390257,0,0,0,0,0
390258,1,0,0,2,2
390262,0,0,0,0,0
390263,0,0,0,0,0
390265,0,0,0,0,0
390266,0,0,0,4,4
390267,0,0,0,0,0
390268,0,0,0,4,4
390269,0,0,0,0,0
390271,0,0,0,0,0
390272,0,0,0,0,0
390273,0,0,0,0,0
390274,0,0,0,0,0
390282,0,0,0,2,1
390290,0,0,0,2,0
390297,0,0,0,0,0
390308,1,0,0,0,3
390311,0,0,0,2,1
390312,1,0,0,3,3
390316,1,1,1,1,1
390318,1,0,0,4,1
390319,0,0,0,4,4
390321,1,0,0,4,4
390322,1,0,0,0,0
390323,1,0,0,4,0
390324,1,0,0,2,1
390326,1,0,0,4,3
390327,0,0,0,0,2
390330,1,0,0,3,3
390331,0,0,0,0,0
390332,0,0,0,0,0
390335,1,0,0,4,4
390338,1,0,0,0,1
390339,1,0,0,4,1
390341,1,0,0,2,2
390344,0,0,0,0,0
390355,1,0,0,4,4
390373,0,0,0,4,4
390375,1,0,0,4,1
390378,0,0,0,0,2
390379,1,0,0,4,4
390380,0,0,0,0,0
390381,0,0,0,0,3
390382,0,0,0,0,0
390383,0,0,0,0,0
390385,0,0,0,0,0
390386,0,0,0,0,1
390387,0,0,0,2,0
390388,0,0,0,0,1
390389,0,0,0,0,0
390391,0,0,0,0,0
390392,0,0,0,0,0
390393,0,1,1,2,1
390395,0,0,0,0,2
390396,0,0,0,0,0
390397,0,0,0,0,0
390398,0,0,0,2,1
390400,0,0,0,0,0
390401,0,0,0,2,0
390402,0,0,0,0,0
390403,0,0,0,2,0
390405,1,0,0,4,3
390406,1,0,0,2,2
390409,0,0,0,4,4
390426,1,1,1,2,2
390430,0,0,0,0,0
390431,0,0,0,0,0
390432,0,0,0,0,0
390433,1,0,0,0,0
390434,0,0,0,4,4
390435,0,0,0,4,0
390436,0,0,0,0,0
390437,0,0,0,0,0
390438,0,0,0,0,0
390439,0,0,0,0,0
390440,0,0,0,0,0
390442,0,0,0,0,0
