user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,end_week,is_dropout_point,cluster_spectral,spectral_agg,kmeans_flat,kmeans_eucl,cluster_kmeans,stage2_outcome,engagement_score,engagement_level,school_type
388047,MALE,SG,Gymnasium,0,2,1,Secondary,40,1,1,0,0,2,1,1,223.0,High,Academic
388047,MALE,SG,Gymnasium,0,2,1,Secondary,65,0,0,0,1,0,0,0,142.0,Medium,Academic
388052,Unknown,Unknown,Unknown,0,0,1,Unknown,35,1,0,0,1,0,0,1,325.0,High,Other
388052,Unknown,Unknown,Unknown,0,0,1,Unknown,44,1,0,0,1,0,0,1,155.0,Medium,Other
388052,Unknown,Unknown,Unknown,0,0,1,Unknown,52,0,0,0,1,0,0,0,180.0,High,Other
388052,Unknown,Unknown,Unknown,0,0,1,Unknown,58,0,0,0,1,0,0,0,31.0,Low,Other
388052,Unknown,Unknown,Unknown,0,0,1,Unknown,59,0,0,0,1,0,0,0,17.0,Low,Other
388057,Unknown,Unknown,Unknown,0,0,1,Unknown,54,0,0,0,1,0,0,0,264.0,High,Other
388060,Unknown,Unknown,Unknown,0,0,1,Unknown,11,0,0,0,1,3,0,0,13.0,Low,Other
388065,FEMALE,SG,Gymnasium,0,2,1,Secondary,11,1,2,0,0,2,2,1,140.0,Medium,Academic
388066,MALE,SG,Gymnasium,0,2,1,Secondary,12,1,3,0,3,1,3,1,122.0,Medium,Academic
388066,MALE,SG,Gymnasium,0,2,1,Secondary,26,1,0,0,1,0,0,1,34.0,Low,Academic
388066,MALE,SG,Gymnasium,0,2,1,Secondary,41,0,0,0,1,0,0,0,7.0,Low,Academic
388067,FEMALE,SG,Gymnasium,0,2,1,Secondary,32,1,0,0,1,0,0,1,42.0,Low,Academic
388068,FEMALE,SG,Gymnasium,0,2,1,Secondary,15,1,3,0,3,1,3,1,57.0,Low,Academic
388068,FEMALE,SG,Gymnasium,0,2,1,Secondary,16,1,1,0,3,1,1,1,87.0,Medium,Academic
388068,FEMALE,SG,Gymnasium,0,2,1,Secondary,46,0,0,0,1,0,0,0,162.0,Medium,Academic
388068,FEMALE,SG,Gymnasium,0,2,1,Secondary,52,0,0,0,1,0,0,0,115.0,Medium,Academic
388068,FEMALE,SG,Gymnasium,0,2,1,Secondary,64,0,0,0,1,0,0,0,105.0,Medium,Academic
388070,MALE,SG,Gymnasium,0,2,1,Secondary,22,1,2,0,1,2,2,1,1.0,Low,Academic
388070,MALE,SG,Gymnasium,0,2,1,Secondary,49,1,0,0,1,0,0,1,166.0,Medium,Academic
388071,MALE,SG,Gymnasium,0,2,1,Secondary,35,1,0,0,1,0,0,1,108.0,Medium,Academic
388071,MALE,SG,Gymnasium,0,2,1,Secondary,57,1,0,0,1,0,0,1,148.0,Medium,Academic
388072,FEMALE,SG,Gymnasium,0,2,1,Secondary,52,1,0,0,1,0,0,1,166.0,Medium,Academic
388073,FEMALE,SG,Gymnasium,0,2,1,Secondary,37,0,0,0,1,0,0,0,49.0,Low,Academic
388073,FEMALE,SG,Gymnasium,0,2,1,Secondary,51,1,0,0,1,0,0,1,46.0,Low,Academic
388074,MALE,SG,Gymnasium,0,2,1,Secondary,34,1,0,0,1,0,0,1,99.0,Medium,Academic
388074,MALE,SG,Gymnasium,0,2,1,Secondary,35,1,0,0,1,0,0,1,756.0,High,Academic
388075,FEMALE,SG,Gymnasium,0,2,1,Secondary,26,0,3,0,1,3,3,0,55.0,Low,Academic
388075,FEMALE,SG,Gymnasium,0,2,1,Secondary,52,1,0,0,1,0,0,1,898.0,High,Academic
388075,FEMALE,SG,Gymnasium,0,2,1,Secondary,79,1,0,0,1,0,0,1,332.0,High,Academic
388076,FEMALE,SG,Gymnasium,0,2,1,Secondary,24,1,0,0,1,0,0,1,626.0,High,Academic
388077,FEMALE,SG,Gymnasium,0,2,1,Secondary,18,1,0,0,1,0,0,1,98.0,Medium,Academic
